TempleName,LordGod,Area,Address,lat,long
明安宮,邢王爺,嘉義縣,嘉義縣鹿草鄉海豐豐稠村3鄰21之1號,23.4162711,120.2879186
青岩宮,池王爺,嘉義縣,嘉義縣竹崎鄉中興路內埔村五鄰十三號,23.4848198,120.5603264
山西夫子天文宮,文衡聖帝,嘉義縣,嘉義縣中埔鄉和美村二九鄰中山新?四七六之一號,23.4584809,120.4673532
保安宮,鄭成功,嘉義縣,嘉義縣鹿草鄉馬稠後278號附1,23.447882,120.279656
石棹吳鳳廟,吳鳳公,嘉義縣,嘉義縣竹崎鄉石棹中和村十九鄰七之一號,23.4757933,120.703828
真武廟,玄天上帝,嘉義縣,嘉義縣竹崎鄉科底緞繻村十六鄰,23.531907,120.59087
鎮北宮,張姑婆媽,嘉義縣,嘉義縣水上鄉義興村2鄰57號,23.418168,120.420986
南天宮,玄天上帝,嘉義縣,嘉義縣水上鄉塗溝塗溝村7鄰47之1號,23.458891,120.372265
聖港宮,天上聖母,嘉義縣,嘉義縣布袋鎮樹林頭段樹林小段樹林里283號,23.4024104,120.2175951
安天宮,天上聖母,嘉義縣,嘉義縣布袋鎮東安庄光復里43號,23.3745158,120.1694307
財團法人臺灣省嘉義縣布袋鎮過溝建德宮,五府千歲,嘉義縣,嘉義縣布袋鎮西安里3鄰過溝西勢30號,23.4166464,120.1804891
春秋武廟,關聖帝君,嘉義縣,嘉義縣朴子市應菜埔永和里4鄰36之1號,23.4645201,120.235232
池王廟,池府千歲,嘉義縣,嘉義縣六腳鄉潭墘村113號,23.504102,120.27708
楓帝宮,楓樹尊王,嘉義縣,嘉義縣中埔鄉石頭厝裕民村(段五十三之二十號),23.429455,120.512873
萬善公廟,萬善公,嘉義縣,嘉義縣中埔鄉和睦村（和興段二九一號）,23.4513416,120.4639256
永安宮,刑府大人,嘉義縣,嘉義縣六腳鄉蒜頭蒜南村399號,23.4903292,120.2913032
西安宮,福德正神,嘉義縣,嘉義縣新港鄉福德路福德村7鄰94號,23.5569601,120.3437714
護安宮,五府千歲,嘉義縣,嘉義縣布袋鎮埔仔厝東港里120之1號,23.376891,120.192483
紫華宮,觀音佛祖,嘉義縣,嘉義縣水上鄉三界埔國姓村5鄰5之2號,23.4410529,120.4757399
寶豐宮,媽祖,嘉義縣,嘉義縣水上鄉南鄉村76號,23.4114579,120.453948
仁安宮,玄天上帝,嘉義縣,嘉義縣水上鄉內溪內溪村4鄰47號,23.436694,120.42988
義民公正廟,義民公,嘉義縣,嘉義縣水上鄉巷口粗溪村13鄰55之3號,23.434284,120.476591
查仙宮廟,查仙公,嘉義縣,嘉義縣六腳鄉港尾寮港美村2鄰段豐美小段316號,23.5284434,120.289879
碧潭龍湖宮,三代浮佛,嘉義縣,嘉義縣鹿草鄉碧潭村6鄰18號,23.384264,120.297014
坑仔坪福興宮,福德正神,嘉義縣,嘉義縣竹崎鄉坑仔坪和平村六鄰七十九之一號,23.515223,120.546386
財團法人嘉義縣布袋鎮過溝建德宮,五府千歲,嘉義縣,嘉義縣布袋鎮西安里3鄰過溝西勢30號,23.4166464,120.1804891
蕭府大帝殿,蕭府大帝,嘉義縣,嘉義縣布袋鎮振寮里11鄰10之1號,23.3767268,120.1682207
威靈宮,朱王,嘉義縣,嘉義縣六腳鄉占富厝正義村7鄰45號,23.492054,120.253648
廣福宮,三山國王,嘉義縣,嘉義縣新港鄉共和村8鄰後庄38號,23.57167,120.335244
保安宮,保生大帝,嘉義縣,嘉義縣六腳鄉下雙溪正義村11鄰26號,23.481448,120.252524
慈保宮,保生大帝,嘉義縣,嘉義縣竹崎鄉番仔潭義仁村十鄰五之一號,23.5046758,120.5012978
萬善堂,萬善公,嘉義縣,嘉義縣水上鄉新進街水頭村10鄰62巷12弄8號,23.4314318,120.4022179
龍旨宮,關聖帝君,嘉義縣,嘉義縣六腳鄉溪墘厝溪厝村5鄰44號之1,23.495706,120.269636
五王宮,五府千歲,嘉義縣,嘉義縣竹崎鄉中和村奮起湖一二六號,23.5047978,120.6974477
埔岩宮,池府千歲,嘉義縣,嘉義縣竹崎鄉昇平村六鄰頂埔九十六號,23.472885,120.567157
玄保宮,玄天上帝,嘉義縣,嘉義縣太保市太保里145號,23.4620968,120.3331866
鎮安宮,五府千歲,嘉義縣,嘉義縣太保市三塊厝安仁里1鄰1之7號,23.4427112,120.3093228
嘉義縣布袋鎮見龍里金華山堂,觀世音菩薩,嘉義縣,嘉義縣布袋鎮見龍里內田1號,23.382199,120.178335
靜德禪寺,釋迦牟尼佛,嘉義縣,嘉義縣布袋鎮過溝西勢西安里150號,23.4166464,120.1804891
財團法人台灣省嘉義縣布袋鎮見龍里金華山堂,觀世音菩薩,嘉義縣,嘉義縣布袋鎮內田見龍里一號,23.382199,120.178335
紫熙寺,觀音佛祖,嘉義縣,嘉義縣中埔鄉崁腳瑞豐村7鄰43附1號,23.395133,120.538078
東安宮,李府千歲,嘉義縣,嘉義縣布袋鎮東港里10鄰118號,23.376891,120.192483
復興宮,諸府千歲,嘉義縣,嘉義縣新港鄉潭子墘潭大村3鄰16號,23.542128,120.331896
九天宮,關聖帝君,嘉義縣,嘉義縣新港鄉月眉潭月眉村19鄰149號附50,23.524953,120.348944
順天宮,五王爺,嘉義縣,嘉義縣六腳鄉後崩山崩山村7鄰46號,23.504741,120.2309613
南天聖道院,天德聖母,嘉義縣,嘉義縣鹿草鄉馬稠後豐稠村6鄰4之1號,23.447882,120.279656
天奉宮,天上聖母,嘉義縣,嘉義縣竹崎鄉鹿鳴路鹿滿村十二鄰三十二號,23.4982859,120.5333573
千光寺,釋迦牟尼佛,嘉義縣,嘉義縣水上鄉柳鄉村176之6號,23.4372314,120.4181428
明德聖堂,明明上帝,嘉義縣,嘉義縣水上鄉大堀尾大堀村2鄰12之12號,23.4318568,120.3780081
中東宮,木府元帥,嘉義縣,嘉義縣布袋鎮東港里景山段325之1地號,23.3763395,120.1593539
紫碧寺,觀世音菩薩,嘉義縣,嘉義縣中埔鄉和美路和美村26鄰50號,23.4572709,120.4650191
天安宮,盤古聖帝,嘉義縣,嘉義縣中埔鄉後庄和美村13鄰28-36號,23.4521427,120.4624939
武聖宮,關聖帝君,嘉義縣,嘉義縣大林鎮平和街吉林里8鄰32巷2號,23.6011913,120.4557044
鎮安岩,觀音佛祖,嘉義縣,嘉義縣竹崎鄉和平村十二鄰二十七之三號,23.5164114,120.5378
南善寺,觀音菩薩,嘉義縣,嘉義縣竹崎鄉埤堂灣橋村二六鄰六十三號,23.494506,120.495877
准提寺,准提菩薩,嘉義縣,嘉義縣竹崎鄉大坪義隆村頂三之三號,23.50174,120.555479
春川宮,春姑婆,嘉義縣,嘉義縣朴子市黎明路安福里13鄰1之2號,23.4694942,120.2466647
保安宮,五府千歲,嘉義縣,嘉義縣朴子市中正路中正里10鄰171號,23.4658789,120.2437965
竹安亭,五府千歲,嘉義縣,嘉義縣朴子市應菜埔永和里3鄰25之1號,23.4633593,120.2323165
澤山宮,護國尊王,嘉義縣,嘉義縣朴子市鴨母寮竹村里1鄰7之7號,23.4319004,120.2469056
樸靈宮,呂仙祖、樸靈公,嘉義縣,嘉義縣朴子市海通路文化里10鄰116號,23.4638379,120.2398193
長春祠,邱春娘,嘉義縣,嘉義縣布袋鎮新厝仔新厝里4鄰295號附1,23.3868132,120.1726198
護生宮,岑府大使,嘉義縣,嘉義縣中埔鄉庄內富收村9鄰4號,23.444855,120.491857
達天宮,玄天上帝,嘉義縣,嘉義縣中埔鄉金蘭村3鄰16號,23.4400803,120.5065934
無極天仁宮,無極原始大天尊,嘉義縣,嘉義縣中埔鄉石頭厝裕民村2鄰20之11號,23.429455,120.512873
永安宮,張聖真君,嘉義縣,嘉義縣布袋鎮太平路岑海里312巷2之2號,23.3786704,120.1573074
瑤池宮,金母娘娘,嘉義縣,嘉義縣中埔鄉中崙村七鄰（段一六七之二地號）,23.375986,120.5605668
太公廟,姜子牙,嘉義縣,嘉義縣新港鄉中正路福德村16鄰115巷19號,23.559292,120.3454824
民生村福德宮,土地公,嘉義縣,嘉義縣水上鄉忠孝街民生村1鄰1之1號,23.444828,120.435035
三界公廟,三官大帝,嘉義縣,嘉義縣水上鄉巷口粗溪村10鄰47號,23.4443753,120.393831
後寮大眾爺廟,大眾爺,嘉義縣,嘉義縣水上鄉後寮南和村15鄰62號,23.412481,120.361236
松王廟,松樹尊王,嘉義縣,嘉義縣新港鄉月眉潭月眉村16鄰112號,23.51995,120.349081
岑兜廟武聖殿,太師爺,嘉義縣,嘉義縣布袋鎮太平路岑海里5鄰322巷3號,23.378895,120.157262
