year,season,year_season,city,total_population,total_population_increase,births,deaths,natural_increase_rate,immigrants,emigrants,social_increase_rate,total_increase_rate
104,1,1041,嘉義縣,"523,162","-1,621",770,"1,462",-1.32,"4,127","5,056",-1.77,-3.09
104,1,1041,屏東縣,"845,779","-2,138","1,313","2,085",-0.91,"6,918","8,284",-1.61,-2.52
104,1,1041,台東縣,"223,831",-639,397,618,-0.99,"1,988","2,406",-1.87,-2.86
104,1,1041,花蓮縣,"332,837",-555,633,851,-0.65,"4,083","4,420",-1.01,-1.66
104,1,1041,澎湖縣,"101,856",98,231,223,0.08,"1,266","1,176",0.88,0.96
104,1,1041,基隆市,"372,969",-108,579,726,-0.39,"4,342","4,303",0.1,-0.29
104,1,1041,新竹市,"432,456",468,"1,236",665,1.32,"4,866","4,969",-0.24,1.08
104,1,1041,嘉義市,"270,867",-16,541,534,0.03,"3,058","3,081",-0.08,-0.05
104,1,1041,福建省,"141,428","1,199",394,217,1.26,"2,864","1,842",7.25,8.51
104,1,1041,金門縣,"128,924","1,201",341,200,1.1,"2,625","1,565",8.25,9.35
104,1,1041,連江縣,"12,504",-2,53,17,2.87,239,277,-3.03,-0.16
103,4,1034,新北市,"3,966,818","5,444","10,943","5,215",1.45,"38,970","39,254",-0.07,1.38
103,4,1034,台北市,"2,702,315","6,666","8,258","4,136",1.53,"33,805","31,261",0.94,2.47
103,4,1034,桃園市,"2,719,835","6,887","7,472","3,870",1.33,"30,528","27,243",1.21,2.54
103,4,1034,台中市,"1,884,284",791,"4,283","3,423",0.46,"16,336","16,405",-0.04,0.42
103,4,1034,台南市,"2,778,992","1,531","6,437","4,951",0.53,"27,048","27,003",0.02,0.55
103,4,1034,高雄市,"9,241,280",562,"21,402","17,550",0.42,"77,563","80,853",-0.36,0.06
103,4,1034,台灣省,"458,777",-7,965,909,0.12,"4,617","4,680",-0.14,-0.02
103,4,1034,宜蘭縣,"2,058,328","4,068","4,696","2,793",0.93,"21,528","19,363",1.05,1.98
103,4,1034,新竹縣,"537,630","1,519","1,565",849,1.33,"5,283","4,480",1.5,2.83
103,4,1034,苗栗縣,"567,132",214,"1,748","1,125",1.1,"3,691","4,100",-0.72,0.38
103,4,1034,彰化縣,"1,291,474",-652,"3,399","2,345",0.82,"7,730","9,436",-1.32,-0.5
103,4,1034,南投縣,"514,315",-766,"1,057","1,110",-0.1,"3,106","3,819",-1.38,-1.48
103,4,1034,雲林縣,"705,356","-1,332","1,473","1,671",-0.28,"4,661","5,795",-1.61,-1.89
103,4,1034,嘉義縣,"524,783","-1,245",816,"1,298",-0.92,"3,476","4,239",-1.45,-2.37
103,4,1034,屏東縣,"847,917","-1,409","1,528","2,021",-0.58,"5,803","6,719",-1.08,-1.66
103,4,1034,台東縣,"224,470",-461,453,669,-0.96,"1,610","1,855",-1.09,-2.05
103,4,1034,花蓮縣,"333,392",-139,746,823,-0.23,"3,839","3,901",-0.19,-0.42
103,4,1034,澎湖縣,"101,758",276,273,199,0.73,"1,159",957,1.99,2.72
103,4,1034,基隆市,"373,077",-520,548,658,-0.29,"3,917","4,327",-1.1,-1.39
103,4,1034,新竹市,"431,988",959,"1,507",618,2.06,"4,506","4,436",0.16,2.22
103,4,1034,嘉義市,"270,883",57,628,462,0.61,"2,637","2,746",-0.4,0.21
103,4,1034,福建省,"140,229","1,592",494,162,2.38,"2,665","1,405",9.03,11.41
103,4,1034,金門縣,"127,723","1,567",444,149,2.32,"2,399","1,127",10.02,12.34
103,4,1034,連江縣,"12,506",25,50,13,2.95,266,278,-0.96,1.99
103,3,1033,新北市,"3,961,374","4,646","9,649","5,273",1.11,"50,526","50,256",0.07,1.18
103,3,1033,台北市,"2,695,649","1,977","7,223","4,061",1.17,"42,346","43,531",-0.44,0.73
103,3,1033,桃園市,"2,712,948","4,610","6,575","3,904",0.99,"37,190","35,251",0.72,1.71
103,3,1033,台中市,"1,883,493",451,"3,927","3,563",0.19,"19,743","19,656",0.05,0.24
